point_id,x_m,y_m,z_ref_m,z_raw_m,dz_raw_m,missing_raw,raw_samples,frames_used,z_filt_full_chain_m,dz_filt_full_chain_m,missing_filt_full_chain,filt_samples_full_chain,z_filt_kalman_m,dz_filt_kalman_m,missing_filt_kalman,filt_samples_kalman,z_filt_normal_m,dz_filt_normal_m,missing_filt_normal,filt_samples_normal,z_filt_outlier_m,dz_filt_outlier_m,missing_filt_outlier,filt_samples_outlier,z_filt_planarity_m,dz_filt_planarity_m,missing_filt_planarity,filt_samples_planarity,z_filt_best_m,dz_filt_best_m,filt_best_name
R1_30m,-1.095621,18.043105,-2.048502,-2.044634,0.003868,0,0,20,4.294811,6.343313,0,12,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,4.400631,6.449133,0,11,4.294811,6.343313,full_chain
R1_33m,-0.755621,20.933105,-1.978502,-1.994634,-0.016132,0,0,20,nan,nan,1,0,nan,nan,1,0,3.179440,5.157942,0,14,nan,nan,1,0,nan,nan,1,0,3.179440,5.157942,normal
R1_36m,-0.395621,23.973105,-1.918502,-1.934634,-0.016132,0,4,20,nan,nan,1,0,3.024458,4.942960,0,2,3.025078,4.943580,0,2,3.025109,4.943611,0,4,nan,nan,1,0,3.024458,4.942960,kalman
R1_39m,-0.055621,26.453105,-2.058502,-2.034634,0.023868,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_42m,0.374379,30.113105,-2.018502,-2.014634,0.003868,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_end,0.574379,32.673105,-2.058502,-2.064634,-0.006132,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,1.913709,3.972211,0,1,1.913709,3.972211,planarity
R2_start,-2.985621,-11.976895,-1.958502,-1.974634,-0.016132,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_3m,-2.655621,-8.976895,-1.928502,-2.024634,-0.096132,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_6m,-2.305621,-6.026895,-2.008502,-1.924634,0.083868,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_9m,-1.965621,-3.046895,-2.018502,-1.924634,0.093868,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_12m,-1.625621,-0.066895,-2.028502,-1.904634,0.123868,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_15m,-1.285621,2.923105,-2.008502,-1.924634,0.083868,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_18m,-0.945621,5.903105,-1.938502,-1.944634,-0.006132,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_21m,-0.615621,8.883105,-2.038502,-2.054634,-0.016132,0,19,20,2.456287,4.494789,0,19,2.841833,4.880335,0,19,2.824196,4.862698,0,18,2.842086,4.880588,0,19,2.456716,4.495218,0,19,2.456287,4.494789,full_chain
R2_24m,-0.275621,11.853105,-1.948502,-1.944634,0.003868,0,19,20,3.476621,5.425123,0,19,2.770269,4.718771,0,19,2.720223,4.668725,0,19,2.770505,4.719007,0,19,3.475066,5.423568,0,19,2.720223,4.668725,normal
R2_27m,0.044379,14.883105,-1.908502,-1.914634,-0.006132,0,0,20,1.897360,3.805862,0,19,nan,nan,1,0,2.530013,4.438515,0,7,nan,nan,1,0,1.896152,3.804654,0,19,1.896152,3.804654,planarity
R2_30m,0.404379,17.903105,-2.028502,-2.024634,0.003868,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_33m,0.884379,20.823105,-2.058502,-2.064634,-0.006132,0,0,20,1.108831,3.167333,0,5,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,1.108399,3.166901,0,18,1.108399,3.166901,planarity
R2_36m,1.074379,23.753105,-1.928502,-1.944634,-0.016132,0,0,20,2.716671,4.645173,0,4,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,2.723850,4.652352,0,2,2.716671,4.645173,full_chain
R2_39m,1.504379,27.073105,-2.008502,-1.994634,0.013868,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_42m,1.554379,29.983105,-2.068502,-2.024634,0.043868,0,9,20,nan,nan,1,0,1.766045,3.834547,0,4,1.764929,3.833431,0,9,1.764929,3.833431,0,9,nan,nan,1,0,1.764929,3.833431,normal
R2_end,1.954379,31.643105,-1.968502,-1.954634,0.013868,0,9,20,1.274652,3.243154,0,4,1.474833,3.443335,0,8,1.474483,3.442985,0,6,1.474438,3.442940,0,9,nan,nan,1,0,1.274652,3.243154,full_chain
