point_id,x_m,y_m,z_ref_m,z_raw_m,z_raw_actual_m,dz_raw_m,missing_raw,raw_samples,frames_used,z_filt_full_chain_m,dz_filt_full_chain_m,missing_filt_full_chain,filt_samples_full_chain,z_filt_hole_filling_m,dz_filt_hole_filling_m,missing_filt_hole_filling,filt_samples_hole_filling,z_filt_kalman_m,dz_filt_kalman_m,missing_filt_kalman,filt_samples_kalman,z_filt_normal_m,dz_filt_normal_m,missing_filt_normal,filt_samples_normal,z_filt_outlier_m,dz_filt_outlier_m,missing_filt_outlier,filt_samples_outlier,z_filt_planarity_m,dz_filt_planarity_m,missing_filt_planarity,filt_samples_planarity,z_filt_best_m,dz_filt_best_m,filt_best_name
R2_18m,-0.945621,5.903105,-1.938502,-1.944634,nan,-0.006132,1,0,140,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R2_21m,-0.615621,8.883105,-2.038502,-2.054634,2.719209,-0.016132,0,139,140,2.248786,4.287288,0,139,2.719209,4.757711,0,139,2.719224,4.757726,0,139,2.678466,4.716968,0,139,2.719209,4.757711,0,139,2.246032,4.284534,0,139,2.246032,4.284534,planarity
R2_24m,-0.275621,11.853105,-1.948502,-1.944634,2.608247,0.003868,0,139,140,2.081570,4.030072,0,139,2.608247,4.556749,0,139,2.609287,4.557789,0,139,2.557464,4.505966,0,139,2.608247,4.556749,0,139,2.079016,4.027518,0,139,2.079016,4.027518,planarity
R2_27m,0.044379,14.883105,-1.908502,-1.914634,2.421602,-0.006132,0,139,140,1.897325,3.805827,0,139,2.421602,4.330104,0,139,2.421519,4.330021,0,139,2.322293,4.230795,0,139,2.421602,4.330104,0,139,1.896130,3.804632,0,139,1.896130,3.804632,planarity
R2_30m,0.404379,17.903105,-2.028502,-2.024634,2.282183,0.003868,0,139,140,1.380809,3.409311,0,139,2.282183,4.310685,0,139,2.282116,4.310618,0,139,2.301964,4.330466,0,139,2.282183,4.310685,0,139,1.379469,3.407971,0,139,1.379469,3.407971,planarity
R2_33m,0.884379,20.823105,-2.058502,-2.064634,2.000462,-0.006132,0,139,140,1.110719,3.169221,0,139,2.000462,4.058964,0,139,2.000407,4.058909,0,139,1.955081,4.013583,0,137,2.000462,4.058964,0,139,1.112913,3.171415,0,139,1.110719,3.169221,full_chain
R2_36m,1.074379,23.753105,-1.928502,-1.944634,1.826595,-0.016132,0,139,140,1.974672,3.903174,0,139,1.826595,3.755097,0,139,1.826553,3.755055,0,139,2.039217,3.967719,0,119,1.826595,3.755097,0,139,1.805135,3.733637,0,138,1.805135,3.733637,planarity
R2_39m,1.504379,27.073105,-2.008502,-1.994634,1.623821,0.013868,0,139,140,1.662206,3.670708,0,100,1.623821,3.632323,0,139,1.635814,3.644316,0,139,1.648980,3.657482,0,127,1.623821,3.632323,0,139,1.695590,3.704092,0,48,1.623821,3.632323,hole_filling
R2_42m,1.554379,29.983105,-2.068502,-2.024634,1.404026,0.043868,0,139,140,1.054940,3.123442,0,52,0.527321,2.595823,0,139,1.404011,3.472513,0,139,1.403783,3.472285,0,126,1.404026,3.472528,0,139,0.745841,2.814343,0,63,0.527321,2.595823,hole_filling
R2_end,1.954379,31.643105,-1.968502,-1.954634,1.474276,0.013868,0,69,140,1.317698,3.286200,0,110,1.323041,3.291543,0,71,1.474812,3.443314,0,59,1.435950,3.404452,0,58,1.474276,3.442778,0,69,1.657970,3.626472,0,51,1.317698,3.286200,full_chain
