id,x,y,z,dist_xy
R1_start,-4.498903355774381,-11.883014371884968,-1.8997272408291368,0.01637119209365671
R1_3m,-4.14890335577438,-8.903014371884964,-2.0397272408291367,0.02603760204558879
R1_6m,-3.838903355774377,-5.9130143718849695,-1.9197272408291368,0.012470862610599542
R1_9m,-3.488903355774376,-2.9430143718849706,-2.009727240829137,0.005706978180910524
R1_12m,-3.158903355774377,0.0369856281150333,-2.0197272408291367,0.004590955990397589
R1_15m,-2.808903355774376,3.0169856281150373,-2.009727240829137,0.005269876528235308
R1_18m,-2.4589033557743747,5.996985628115027,-2.009727240829137,0.015121845136754578
R1_21m,-2.1289033557743764,8.95698562811502,-1.9297272408291368,0.02197093053175721
R1_24m,-1.78890335577438,11.95698562811502,-2.0597272408291367,0.005186558612094753
R1_27m,-1.4089033557743775,15.126985628115037,-1.9897272408291369,0.19257164167523122
R1_30m,-1.0789033557743792,18.056985628115044,-2.049727240829137,0.14097773720230974
R1_33m,-0.7389033557743758,20.96698562811504,-1.9897272408291369,0.07443788844252618
R1_36m,-0.3689033557743784,24.016985628115023,-1.9397272408291368,0.1498559488071173
R1_39m,-0.0589033557743761,26.646985628115047,-2.0797272408291367,0.2178367240573145
R1_42m,0.3910966442256196,30.11698562811505,-2.0197272408291367,0.30960360269158615
R1_end,0.5810966442256245,32.66698562811503,-2.0697272408291365,0.04740801867355438
R2_start,-3.1689033557743755,-11.873014371884963,-2.0397272408291367,0.2244198376728616
R2_3m,-2.6689033557743755,-8.983014371884963,-1.8997272408291368,0.038376272621965205
R2_6m,-2.298903355774378,-6.013014371884964,-1.9997272408291369,0.01113027966139407
R2_9m,-1.958903355774375,-3.043014371884965,-2.0397272408291367,0.003544942460055111
R2_12m,-1.6289033557743764,-0.0630143718849609,-1.9997272408291369,0.004060134515179541
R2_15m,-1.28890335577438,2.916985628115029,-1.9997272408291369,0.002322222648698909
R2_18m,-0.9489033557743768,5.896985628115033,-1.9697272408291369,0.0029047908322023235
R2_21m,-0.6089033557743804,8.836985628115045,-1.9197272408291368,0.04382210242117981
R2_24m,-0.2689033557743769,11.866985628115046,-1.9697272408291369,0.008012718631374618
R2_27m,0.0610966442256213,14.886985628115028,-1.9097272408291368,0.0444381716383574
R2_30m,0.4310966442256188,17.926985628115048,-2.0397272408291367,0.10797861612214532
R2_33m,0.9010966442256249,20.806985628115044,-2.0697272408291365,0.16341883886215638
R2_36m,1.1010966442256205,23.786985628115037,-1.9497272408291368,0.025928113267821275
R2_39m,1.5110966442256242,26.91698562811503,-2.009727240829137,0.17987593862291143
R2_42m,1.981096644225623,30.21698562811504,-2.0297272408291365,0.5233132211835588
R2_end,1.971096644225625,31.61698562811505,-1.9597272408291369,0.02769377834735024
