id,x,y,z,dist_xy
R1_start,-4.5078900944239,-11.878118309628404,-1.8946344978357623,0.010614697377445649
R1_3m,-4.167890094423896,-8.908118309628406,-1.9746344978357624,0.007467264641414636
R1_6m,-3.837890094423898,-5.928118309628417,-2.0246344978357627,0.004665603706375068
R1_9m,-3.4978900944238944,-2.9481183096283985,-1.9946344978357624,0.005243175659650088
R1_12m,-3.157890094423891,0.0318816903715912,-2.0346344978357624,0.005835665139533303
R1_15m,-2.817890094423902,3.0218816903716004,-2.004634497835762,0.006027003840613556
R1_18m,-2.4778900944238984,6.00188169037159,-2.0446344978357622,0.005659031324941228
R1_21m,-2.12789009442389,8.981881690371608,-1.9846344978357624,0.006895396094564496
R1_24m,-1.7978900944238916,11.961881690371598,-2.0646344978357623,0.005094702741150214
R1_27m,-1.417890094423896,15.051881690371602,-1.9646344978357624,0.11774702993670223
R1_30m,-1.0978900944238887,18.0218816903716,-2.0446344978357622,0.10277094957564713
R1_33m,-0.7478900944238944,20.911881690371587,-1.9946344978357624,0.027564848077867604
R1_36m,-0.387890094423895,23.97188169037159,-1.9346344978357624,0.100987677637806
R1_39m,0.0621099055761078,27.25188169037159,-2.0346344978357624,0.41939498079568893
R1_42m,0.3721099055761101,30.121881690371595,-2.0146344978357624,0.30571914073630685
R1_end,0.5621099055761078,32.6518816903716,-2.0646344978357623,0.06344161824343775
R2_start,-2.9678900944238933,-11.948118309628398,-1.9746344978357624,0.03854313457298317
R2_3m,-2.637890094423895,-9.0081183096284,-2.0246344978357627,0.0030983033893286632
R2_6m,-2.297890094423892,-6.028118309628411,-1.9246344978357623,0.0045272676443893845
R2_9m,-1.9678900944238933,-3.048118309628393,-1.9246344978357623,0.007375759053406082
R2_12m,-1.62789009442389,-0.0581183096284121,-1.9046344978357623,0.005034334462208454
R2_15m,-1.287890094423901,2.921881690371606,-1.9246344978357623,0.003154438762928586
R2_18m,-0.9478900944238972,5.901881690371596,-1.9446344978357624,0.0029484759352098643
R2_21m,-0.617890094423899,8.881881690371586,-2.0546344978357625,0.0056466326302597415
R2_24m,-0.2778900944238955,11.831881690371604,-1.9446344978357624,0.029895570912701265
R2_27m,0.0521099055761027,14.861881690371604,-1.9146344978357623,0.022001679177893942
R2_30m,0.4121099055761021,17.821881690371583,-2.0246344978357627,0.012043954635354634
R2_33m,0.882109905576101,20.821881690371583,-2.0646344978357623,0.14545745536870772
R2_36m,1.082109905576104,23.7118816903716,-1.9446344978357624,0.07387477224719526
R2_39m,1.4921099055761005,26.911881690371587,-1.9946344978357624,0.1657389455292888
R2_42m,1.9721099055761044,30.17188169037161,-2.0246344978357627,0.4790167229304311
R2_end,1.9421099055761035,31.441881690371588,-1.9546344978357624,0.20341034268144015
