id,x,y,z,dist_xy
R1_start,-4.496487900316737,-11.87892032131441,-1.904562305875036,0.019819679234897792
R1_3m,-4.1664879003167385,-8.908920321314412,-2.034562305875036,0.009069066328638334
R1_6m,-3.826487900316735,-5.928920321314422,-2.0145623058750357,0.00918453540193795
R1_9m,-3.486487900316732,-2.948920321314404,-2.0045623058750355,0.009344695084632527
R1_12m,-3.156487900316733,0.0410796786856053,-1.9845623058750357,0.005049672970086922
R1_15m,-2.81648790031673,3.021079678685595,-2.0145623058750357,0.004571320988594996
R1_18m,-2.476487900316741,6.001079678685585,-2.0145623058750357,0.004139883338549839
R1_21m,-2.1464879003167425,8.961079678685593,-1.9345623058750356,0.021443298054265765
R1_24m,-1.786487900316743,11.961079678685593,-2.0645623058750355,0.007473659389757519
R1_27m,-1.4164879003167383,15.071079678685578,-1.9745623058750357,0.13654297990594635
R1_30m,-1.0864879003167405,18.031079678685582,-2.0445623058750355,0.11400847804871342
R1_33m,-0.7464879003167368,20.961079678685596,-1.9945623058750357,0.06582557196791991
R1_36m,-0.3664879003167414,23.981079678685603,-1.9245623058750356,0.11972690546091563
R1_39m,-0.0564879003167391,26.63107967868558,-2.0645623058750355,0.2339247853653831
R1_42m,0.3835120996832586,30.10107967868558,-2.0145623058750357,0.29199537901692085
R1_end,0.5735120996832705,32.6710796786856,-2.074562305875036,0.04294610377069934
R2_start,-2.9564879003167306,-11.948920321314404,-1.9645623058750357,0.04144394293633772
R2_3m,-2.6364879003167374,-8.968920321314414,-1.9345623058750356,0.036140353443647896
R2_6m,-2.296487900316734,-6.028920321314416,-2.0145623058750357,0.005947827034976127
R2_9m,-1.966487900316736,-3.038920321314407,-2.034562305875036,0.005844615393233314
R2_12m,-1.6264879003167323,-0.0589203213144173,-1.9145623058750356,0.0036218157528682174
R2_15m,-1.286487900316743,2.921079678685601,-2.0145623058750357,0.0024925159178646543
R2_18m,-0.9464879003167396,5.901079678685591,-1.9845623058750357,0.003666713494907485
R2_21m,-0.6164879003167414,8.831079678685597,-1.9145623058750356,0.04976058598008239
R2_24m,-0.276487900316738,11.8610796786856,-1.9645623058750357,0.0017190212022592305
R2_27m,0.0635120996832654,14.88107967868558,-1.9245623058750356,0.03851408380515671
R2_30m,0.4235120996832648,17.90107967868559,-2.034562305875036,0.0809857790465852
R2_33m,0.8935120996832637,20.8010796786856,-2.0645623058750355,0.15585221934893703
R2_36m,1.0935120996832666,23.751079678685585,-1.9445623058750356,0.03892304265847384
R2_39m,1.5135120996832685,27.061079678685587,-2.0145623058750357,0.3114485540243459
R2_42m,1.973512099683262,30.18107967868559,-2.034562305875036,0.48782745668736066
R2_end,1.963512099683257,31.6410796786856,-1.9645623058750357,0.003277517952947879
