id,x,y,z,dist_xy
R1_start,-4.510273525703241,-11.882560774911752,-1.8878896980650064,0.005845325353267365
R1_3m,-4.170273525703237,-8.902560774911763,-2.027889698065006,0.005357323240963295
R1_6m,-3.830273525703234,-5.922560774911773,-1.9478896980650064,0.0049069212476666665
R1_9m,-3.4902735257032305,-2.9425607749117546,-1.9978896980650065,0.004506348621904646
R1_12m,-3.1502735257032413,0.0374392250882351,-1.9378896980650064,0.0041681440923806296
R1_15m,-2.810273525703238,3.017439225088225,-1.9978896980650065,0.003909020465221591
R1_18m,-2.4702735257032344,5.997439225088243,-1.9978896980650065,0.0037458426048352705
R1_21m,-2.140273525703236,8.997439225088243,-1.9778896980650065,0.020101881261146794
R1_24m,-1.7902735257032276,11.957439225088253,-2.057889698065006,0.003750302449869453
R1_27m,-1.4302735257032282,15.107439225088228,-1.9578896980650065,0.16938928323275199
R1_30m,-1.090273525703239,18.047439225088223,-2.0478896980650063,0.1292357433176579
R1_33m,-0.7602735257032407,20.95743922508825,-1.9878896980650065,0.05798591481047104
R1_36m,-0.3902735257032361,23.997439225088243,-1.9278896980650064,0.12353310260037434
R1_39m,-0.0602735257032378,26.64743922508825,-2.077889698065006,0.2171789719602688
R1_42m,0.3797264742967599,30.14743922508825,-2.017889698065006,0.33217780654443385
R1_end,0.5697264742967718,32.68743922508824,-2.067889698065006,0.027079232582473047
R2_start,-3.1902735257032333,-11.87256077491176,-2.037889698065006,0.2433334104830679
R2_3m,-2.6502735257032413,-9.042560774911747,-2.0078896980650063,0.039634662076848376
R2_6m,-2.3002735257032327,-6.022560774911767,-2.0078896980650063,0.0015641564282858334
R2_9m,-1.960273525703229,-3.042560774911749,-2.027889698065006,0.0022488813159751925
R2_12m,-1.62027352570324,-0.0625607749117591,-2.027889698065006,0.004669298401710177
R2_15m,-1.2902735257032276,2.9174392250882306,-1.9178896980650064,0.003155124089461287
R2_18m,-0.9402735257032332,5.897439225088249,-2.017889698065006,0.00988449828499988
R2_21m,-0.630273525703231,8.857439225088228,-1.9178896980650064,0.02932620202737877
R2_24m,-0.2702735257032316,11.857439225088228,-1.9578896980650065,0.006205820585668351
R2_27m,0.0497264742967615,14.88743922508823,-1.9078896980650064,0.04669154792823911
R2_30m,0.409726474296761,17.92743922508825,-2.037889698065006,0.10434891932736218
R2_33m,0.889726474296765,20.827439225088227,-2.067889698065006,0.15375318258219067
R2_36m,1.0797264742967627,23.777439225088244,-1.9378896980650064,0.00917985981483201
R2_39m,1.4997264742967644,27.077439225088227,-2.0078896980650063,0.3229881596940636
R2_42m,1.9797264742967684,30.20743922508825,-2.017889698065006,0.5141500658665082
R2_end,1.9597264742967724,31.617439225088248,-1.9478896980650064,0.027079232582465994
